"countyname","fipscounty","neighborname","fipsneighbor"
"Mille Lacs County, MN","27095","Sherburne County, MN","27141"
"Morrison County, MN","27097","Benton County, MN","27009"
"Morrison County, MN","27097","Cass County, MN","27021"
"Morrison County, MN","27097","Crow Wing County, MN","27035"
"Morrison County, MN","27097","Mille Lacs County, MN","27095"
"Morrison County, MN","27097","Morrison County, MN","27097"
"Morrison County, MN","27097","Stearns County, MN","27145"
"Morrison County, MN","27097","Todd County, MN","27153"
"Mower County, MN","27099","Howard County, IA","19089"
"Mower County, MN","27099","Mitchell County, IA","19131"
"Mower County, MN","27099","Worth County, IA","19195"
"Mower County, MN","27099","Dodge County, MN","27039"
"Mower County, MN","27099","Fillmore County, MN","27045"
"Mower County, MN","27099","Freeborn County, MN","27047"
"Mower County, MN","27099","Mower County, MN","27099"
"Mower County, MN","27099","Olmsted County, MN","27109"
"Mower County, MN","27099","Steele County, MN","27147"
"Murray County, MN","27101","Cottonwood County, MN","27033"
"Murray County, MN","27101","Lyon County, MN","27083"
"Murray County, MN","27101","Murray County, MN","27101"
"Murray County, MN","27101","Nobles County, MN","27105"
"Murray County, MN","27101","Pipestone County, MN","27117"
"Murray County, MN","27101","Redwood County, MN","27127"
"Murray County, MN","27101","Rock County, MN","27133"
"Nicollet County, MN","27103","Blue Earth County, MN","27013"
"Nicollet County, MN","27103","Brown County, MN","27015"
"Nicollet County, MN","27103","Le Sueur County, MN","27079"
"Nicollet County, MN","27103","Nicollet County, MN","27103"
"Nicollet County, MN","27103","Renville County, MN","27129"
"Nicollet County, MN","27103","Sibley County, MN","27143"
"Nobles County, MN","27105","Lyon County, IA","19119"
"Nobles County, MN","27105","Osceola County, IA","19143"
"Nobles County, MN","27105","Cottonwood County, MN","27033"
"Nobles County, MN","27105","Jackson County, MN","27063"
"Nobles County, MN","27105","Murray County, MN","27101"
"Nobles County, MN","27105","Nobles County, MN","27105"
"Nobles County, MN","27105","Rock County, MN","27133"
"Norman County, MN","27107","Becker County, MN","27005"
"Norman County, MN","27107","Clay County, MN","27027"
"Norman County, MN","27107","Mahnomen County, MN","27087"
"Norman County, MN","27107","Norman County, MN","27107"
"Norman County, MN","27107","Polk County, MN","27119"
"Norman County, MN","27107","Cass County, ND","38017"
"Norman County, MN","27107","Traill County, ND","38097"
"Olmsted County, MN","27109","Dodge County, MN","27039"
"Olmsted County, MN","27109","Fillmore County, MN","27045"
"Olmsted County, MN","27109","Goodhue County, MN","27049"
"Olmsted County, MN","27109","Mower County, MN","27099"
"Olmsted County, MN","27109","Olmsted County, MN","27109"
"Olmsted County, MN","27109","Wabasha County, MN","27157"
"Olmsted County, MN","27109","Winona County, MN","27169"
"Todd County, MN","27111","Becker County, MN","27005"
"Todd County, MN","27111","Clay County, MN","27027"
"Todd County, MN","27111","Douglas County, MN","27041"
"Todd County, MN","27111","Grant County, MN","27051"
"Todd County, MN","27111","Otter Tail County, MN","27111"
"Todd County, MN","27111","Todd County, MN","27153"
"Todd County, MN","27111","Wadena County, MN","27159"
"Todd County, MN","27111","Wilkin County, MN","27167"
"Pennington County, MN","27113","Beltrami County, MN","27007"
"Pennington County, MN","27113","Clearwater County, MN","27029"
"Pennington County, MN","27113","Marshall County, MN","27089"
"Pennington County, MN","27113","Pennington County, MN","27113"
"Pennington County, MN","27113","Polk County, MN","27119"
"Pennington County, MN","27113","Red Lake County, MN","27125"
"Pine County, MN","27115","Aitkin County, MN","27001"
"Pine County, MN","27115","Carlton County, MN","27017"
"Pine County, MN","27115","Chisago County, MN","27025"
"Pine County, MN","27115","Isanti County, MN","27059"
"Pine County, MN","27115","Kanabec County, MN","27065"
"Pine County, MN","27115","Pine County, MN","27115"
"Pine County, MN","27115","Burnett County, WI","55013"
"Pine County, MN","27115","Douglas County, WI","55031"
"Pipestone County, MN","27117","Lincoln County, MN","27081"
"Pipestone County, MN","27117","Lyon County, MN","27083"
"Pipestone County, MN","27117","Murray County, MN","27101"
"Pipestone County, MN","27117","Pipestone County, MN","27117"
"Pipestone County, MN","27117","Rock County, MN","27133"
"Pipestone County, MN","27117","Brookings County, SD","46011"
"Pipestone County, MN","27117","Minnehaha County, SD","46099"
"Pipestone County, MN","27117","Moody County, SD","46101"
"Polk County, MN","27119","Clearwater County, MN","27029"
"Polk County, MN","27119","Mahnomen County, MN","27087"
"Polk County, MN","27119","Marshall County, MN","27089"
"Polk County, MN","27119","Norman County, MN","27107"
"Polk County, MN","27119","Pennington County, MN","27113"
"Polk County, MN","27119","Polk County, MN","27119"
"Polk County, MN","27119","Red Lake County, MN","27125"
"Polk County, MN","27119","Grand Forks County, ND","38035"
"Polk County, MN","27119","Traill County, ND","38097"
"Pope County, MN","27121","Douglas County, MN","27041"
"Pope County, MN","27121","Grant County, MN","27051"
"Pope County, MN","27121","Kandiyohi County, MN","27067"
"Pope County, MN","27121","Pope County, MN","27121"
"Pope County, MN","27121","Stearns County, MN","27145"
"Pope County, MN","27121","Stevens County, MN","27149"
"Pope County, MN","27121","Swift County, MN","27151"
"Ramsey County, MN","27123","Anoka County, MN","27003"
"Ramsey County, MN","27123","Dakota County, MN","27037"
"Ramsey County, MN","27123","Hennepin County, MN","27053"
"Ramsey County, MN","27123","Ramsey County, MN","27123"
"Ramsey County, MN","27123","Washington County, MN","27163"
"Red Lake County, MN","27125","Pennington County, MN","27113"
"Red Lake County, MN","27125","Polk County, MN","27119"
"Red Lake County, MN","27125","Red Lake County, MN","27125"
"Redwood County, MN","27127","Brown County, MN","27015"
"Redwood County, MN","27127","Cottonwood County, MN","27033"
"Redwood County, MN","27127","Lyon County, MN","27083"
"Redwood County, MN","27127","Murray County, MN","27101"
"Redwood County, MN","27127","Redwood County, MN","27127"
"Redwood County, MN","27127","Renville County, MN","27129"
"Redwood County, MN","27127","Yellow Medicine County, MN","27173"
"Renville County, MN","27129","Brown County, MN","27015"
"Renville County, MN","27129","Chippewa County, MN","27023"
"Renville County, MN","27129","Kandiyohi County, MN","27067"
"Renville County, MN","27129","McLeod County, MN","27085"
"Renville County, MN","27129","Meeker County, MN","27093"
"Renville County, MN","27129","Nicollet County, MN","27103"
"Renville County, MN","27129","Redwood County, MN","27127"
"Renville County, MN","27129","Renville County, MN","27129"
"Renville County, MN","27129","Sibley County, MN","27143"
"Renville County, MN","27129","Yellow Medicine County, MN","27173"
"Rice County, MN","27131","Dakota County, MN","27037"
"Rice County, MN","27131","Dodge County, MN","27039"
"Rice County, MN","27131","Goodhue County, MN","27049"
"Rice County, MN","27131","Le Sueur County, MN","27079"
"Rice County, MN","27131","Rice County, MN","27131"
"Rice County, MN","27131","Scott County, MN","27139"
"Rice County, MN","27131","Steele County, MN","27147"
"Rice County, MN","27131","Waseca County, MN","27161"
"Rock County, MN","27133","Lyon County, IA","19119"
"Rock County, MN","27133","Murray County, MN","27101"
"Rock County, MN","27133","Nobles County, MN","27105"
"Rock County, MN","27133","Pipestone County, MN","27117"
"Rock County, MN","27133","Rock County, MN","27133"
"Rock County, MN","27133","Minnehaha County, SD","46099"
"Rock County, MN","27133","Moody County, SD","46101"
"Roseau County, MN","27135","Beltrami County, MN","27007"
"Roseau County, MN","27135","Kittson County, MN","27069"
"Roseau County, MN","27135","Lake of the Woods County, MN","27077"
"Roseau County, MN","27135","Marshall County, MN","27089"
"Roseau County, MN","27135","Roseau County, MN","27135"
"St. Louis County, MN","27137","Aitkin County, MN","27001"
"St. Louis County, MN","27137","Carlton County, MN","27017"
"St. Louis County, MN","27137","Itasca County, MN","27061"
"St. Louis County, MN","27137","Koochiching County, MN","27071"
"St. Louis County, MN","27137","Lake County, MN","27075"
"St. Louis County, MN","27137","St. Louis County, MN","27137"
"St. Louis County, MN","27137","Douglas County, WI","55031"
"Scott County, MN","27139","Carver County, MN","27019"
"Scott County, MN","27139","Dakota County, MN","27037"
"Scott County, MN","27139","Hennepin County, MN","27053"
"Scott County, MN","27139","Le Sueur County, MN","27079"
"Scott County, MN","27139","Rice County, MN","27131"
"Scott County, MN","27139","Scott County, MN","27139"
"Scott County, MN","27139","Sibley County, MN","27143"
"Sherburne County, MN","27141","Anoka County, MN","27003"
"Sherburne County, MN","27141","Benton County, MN","27009"
"Sherburne County, MN","27141","Hennepin County, MN","27053"
"Sherburne County, MN","27141","Isanti County, MN","27059"
"Sherburne County, MN","27141","Mille Lacs County, MN","27095"
"Sherburne County, MN","27141","Sherburne County, MN","27141"
"Sherburne County, MN","27141","Stearns County, MN","27145"
"Sherburne County, MN","27141","Wright County, MN","27171"
"Sibley County, MN","27143","Carver County, MN","27019"
"Sibley County, MN","27143","Le Sueur County, MN","27079"
"Sibley County, MN","27143","McLeod County, MN","27085"
"Sibley County, MN","27143","Nicollet County, MN","27103"
"Sibley County, MN","27143","Renville County, MN","27129"
"Sibley County, MN","27143","Scott County, MN","27139"
"Sibley County, MN","27143","Sibley County, MN","27143"
"Stearns County, MN","27145","Benton County, MN","27009"
"Stearns County, MN","27145","Douglas County, MN","27041"
"Stearns County, MN","27145","Kandiyohi County, MN","27067"
"Stearns County, MN","27145","Meeker County, MN","27093"
"Stearns County, MN","27145","Morrison County, MN","27097"
"Stearns County, MN","27145","Pope County, MN","27121"
"Stearns County, MN","27145","Sherburne County, MN","27141"
"Stearns County, MN","27145","Stearns County, MN","27145"
"Stearns County, MN","27145","Todd County, MN","27153"
"Stearns County, MN","27145","Wright County, MN","27171"
"Steele County, MN","27147","Dodge County, MN","27039"
"Steele County, MN","27147","Freeborn County, MN","27047"
"Steele County, MN","27147","Mower County, MN","27099"
"Steele County, MN","27147","Rice County, MN","27131"
"Steele County, MN","27147","Steele County, MN","27147"
"Steele County, MN","27147","Waseca County, MN","27161"
"Stevens County, MN","27149","Big Stone County, MN","27011"
"Stevens County, MN","27149","Douglas County, MN","27041"
"Stevens County, MN","27149","Grant County, MN","27051"
"Stevens County, MN","27149","Pope County, MN","27121"
"Stevens County, MN","27149","Stevens County, MN","27149"
"Stevens County, MN","27149","Swift County, MN","27151"
"Stevens County, MN","27149","Traverse County, MN","27155"
"Swift County, MN","27151","Big Stone County, MN","27011"
"Swift County, MN","27151","Chippewa County, MN","27023"
"Swift County, MN","27151","Kandiyohi County, MN","27067"
"Swift County, MN","27151","Lac qui Parle County, MN","27073"
"Swift County, MN","27151","Pope County, MN","27121"
"Swift County, MN","27151","Stevens County, MN","27149"
"Swift County, MN","27151","Swift County, MN","27151"
"Todd County, MN","27153","Cass County, MN","27021"
"Todd County, MN","27153","Douglas County, MN","27041"
"Todd County, MN","27153","Morrison County, MN","27097"
"Todd County, MN","27153","Otter Tail County, MN","27111"
"Todd County, MN","27153","Stearns County, MN","27145"
"Todd County, MN","27153","Todd County, MN","27153"
"Todd County, MN","27153","Wadena County, MN","27159"
"Traverse County, MN","27155","Big Stone County, MN","27011"
"Traverse County, MN","27155","Grant County, MN","27051"
"Traverse County, MN","27155","Stevens County, MN","27149"
"Traverse County, MN","27155","Traverse County, MN","27155"
"Traverse County, MN","27155","Wilkin County, MN","27167"
"Traverse County, MN","27155","Richland County, ND","38077"
"Traverse County, MN","27155","Roberts County, SD","46109"
"Wabasha County, MN","27157","Goodhue County, MN","27049"
"Wabasha County, MN","27157","Olmsted County, MN","27109"
"Wabasha County, MN","27157","Wabasha County, MN","27157"
"Wabasha County, MN","27157","Winona County, MN","27169"
"Wabasha County, MN","27157","Buffalo County, WI","55011"
"Wabasha County, MN","27157","Pepin County, WI","55091"
"Wadena County, MN","27159","Becker County, MN","27005"
"Wadena County, MN","27159","Cass County, MN","27021"
"Wadena County, MN","27159","Hubbard County, MN","27057"
"Wadena County, MN","27159","Otter Tail County, MN","27111"
"Wadena County, MN","27159","Todd County, MN","27153"
"Wadena County, MN","27159","Wadena County, MN","27159"
"Waseca County, MN","27161","Blue Earth County, MN","27013"
"Waseca County, MN","27161","Faribault County, MN","27043"
"Waseca County, MN","27161","Freeborn County, MN","27047"
"Waseca County, MN","27161","Le Sueur County, MN","27079"
"Waseca County, MN","27161","Rice County, MN","27131"
"Waseca County, MN","27161","Steele County, MN","27147"
"Waseca County, MN","27161","Waseca County, MN","27161"
"Washington County, MN","27163","Anoka County, MN","27003"
"Washington County, MN","27163","Chisago County, MN","27025"
"Washington County, MN","27163","Dakota County, MN","27037"
"Washington County, MN","27163","Ramsey County, MN","27123"
"Washington County, MN","27163","Washington County, MN","27163"
"Washington County, MN","27163","Pierce County, WI","55093"
"Washington County, MN","27163","Polk County, WI","55095"
"Washington County, MN","27163","St. Croix County, WI","55109"
"Washington County, MN","27165","Blue Earth County, MN","27013"
"Washington County, MN","27165","Brown County, MN","27015"
"Washington County, MN","27165","Cottonwood County, MN","27033"
"Washington County, MN","27165","Jackson County, MN","27063"
"Washington County, MN","27165","Martin County, MN","27091"
"Washington County, MN","27165","Watonwan County, MN","27165"
"Wilkin County, MN","27167","Clay County, MN","27027"
"Wilkin County, MN","27167","Grant County, MN","27051"
"Wilkin County, MN","27167","Otter Tail County, MN","27111"
"Wilkin County, MN","27167","Traverse County, MN","27155"
"Wilkin County, MN","27167","Wilkin County, MN","27167"
"Wilkin County, MN","27167","Richland County, ND","38077"
"Winona County, MN","27169","Fillmore County, MN","27045"
"Winona County, MN","27169","Houston County, MN","27055"
"Winona County, MN","27169","Olmsted County, MN","27109"
"Winona County, MN","27169","Wabasha County, MN","27157"
"Winona County, MN","27169","Winona County, MN","27169"
"Winona County, MN","27169","Buffalo County, WI","55011"
"Winona County, MN","27169","La Crosse County, WI","55063"
"Winona County, MN","27169","Trempealeau County, WI","55121"
"Wright County, MN","27171","Carver County, MN","27019"
"Wright County, MN","27171","Hennepin County, MN","27053"
"Wright County, MN","27171","McLeod County, MN","27085"
"Wright County, MN","27171","Meeker County, MN","27093"
"Wright County, MN","27171","Sherburne County, MN","27141"
"Wright County, MN","27171","Stearns County, MN","27145"
"Wright County, MN","27171","Wright County, MN","27171"
"Yellow Medicine County, MN","27173","Chippewa County, MN","27023"
"Yellow Medicine County, MN","27173","Lac qui Parle County, MN","27073"
"Yellow Medicine County, MN","27173","Lincoln County, MN","27081"
"Yellow Medicine County, MN","27173","Lyon County, MN","27083"
"Yellow Medicine County, MN","27173","Redwood County, MN","27127"
"Yellow Medicine County, MN","27173","Renville County, MN","27129"
"Yellow Medicine County, MN","27173","Yellow Medicine County, MN","27173"
"Yellow Medicine County, MN","27173","Deuel County, SD","46039"
"Adams County, MS","28001","Concordia Parish, LA","22029"
"Adams County, MS","28001","Tensas Parish, LA","22107"
"Adams County, MS","28001","Adams County, MS","28001"
"Adams County, MS","28001","Franklin County, MS","28037"
"Adams County, MS","28001","Jefferson County, MS","28063"
"Adams County, MS","28001","Wilkinson County, MS","28157"
"Alcorn County, MS","28003","Alcorn County, MS","28003"
"Alcorn County, MS","28003","Prentiss County, MS","28117"
"Alcorn County, MS","28003","Tippah County, MS","28139"
"Alcorn County, MS","28003","Tishomingo County, MS","28141"
"Alcorn County, MS","28003","Hardeman County, TN","47069"
"Alcorn County, MS","28003","Hardin County, TN","47071"
"Alcorn County, MS","28003","McNairy County, TN","47109"
"Amite County, MS","28005","East Feliciana Parish, LA","22037"
"Amite County, MS","28005","St. Helena Parish, LA","22091"
"Amite County, MS","28005","Tangipahoa Parish, LA","22105"
"Amite County, MS","28005","Amite County, MS","28005"
"Amite County, MS","28005","Franklin County, MS","28037"
"Amite County, MS","28005","Lincoln County, MS","28085"
"Amite County, MS","28005","Pike County, MS","28113"
"Amite County, MS","28005","Wilkinson County, MS","28157"
"Attala County, MS","28007","Attala County, MS","28007"
"Attala County, MS","28007","Carroll County, MS","28015"
"Attala County, MS","28007","Choctaw County, MS","28019"
"Attala County, MS","28007","Holmes County, MS","28051"
"Attala County, MS","28007","Leake County, MS","28079"
"Attala County, MS","28007","Madison County, MS","28089"
"Attala County, MS","28007","Montgomery County, MS","28097"
"Attala County, MS","28007","Neshoba County, MS","28099"
"Attala County, MS","28007","Winston County, MS","28159"
"Attala County, MS","28007","Yazoo County, MS","28163"
"Benton County, MS","28009","Benton County, MS","28009"
"Benton County, MS","28009","Marshall County, MS","28093"
"Benton County, MS","28009","Tippah County, MS","28139"
"Benton County, MS","28009","Union County, MS","28145"
"Benton County, MS","28009","Fayette County, TN","47047"
"Benton County, MS","28009","Hardeman County, TN","47069"
"Bolivar County, MS","28011","Chicot County, AR","05017"
"Bolivar County, MS","28011","Desha County, AR","05041"
"Bolivar County, MS","28011","Phillips County, AR","05107"
"Bolivar County, MS","28011","Bolivar County, MS","28011"
"Bolivar County, MS","28011","Coahoma County, MS","28027"
"Bolivar County, MS","28011","Sunflower County, MS","28133"
"Bolivar County, MS","28011","Washington County, MS","28151"
"Calhoun County, MS","28013","Calhoun County, MS","28013"
"Calhoun County, MS","28013","Chickasaw County, MS","28017"
"Calhoun County, MS","28013","Grenada County, MS","28043"
"Calhoun County, MS","28013","Lafayette County, MS","28071"
"Calhoun County, MS","28013","Pontotoc County, MS","28115"
"Calhoun County, MS","28013","Webster County, MS","28155"
"Calhoun County, MS","28013","Yalobusha County, MS","28161"
"Carroll County, MS","28015","Attala County, MS","28007"
"Carroll County, MS","28015","Carroll County, MS","28015"
"Carroll County, MS","28015","Grenada County, MS","28043"
"Carroll County, MS","28015","Holmes County, MS","28051"
"Carroll County, MS","28015","Leflore County, MS","28083"
"Carroll County, MS","28015","Montgomery County, MS","28097"
"Chickasaw County, MS","28017","Calhoun County, MS","28013"
"Chickasaw County, MS","28017","Chickasaw County, MS","28017"
"Chickasaw County, MS","28017","Clay County, MS","28025"
"Chickasaw County, MS","28017","Lee County, MS","28081"
"Chickasaw County, MS","28017","Monroe County, MS","28095"
"Chickasaw County, MS","28017","Pontotoc County, MS","28115"
"Chickasaw County, MS","28017","Webster County, MS","28155"
"Choctaw County, MS","28019","Attala County, MS","28007"
"Choctaw County, MS","28019","Choctaw County, MS","28019"
"Choctaw County, MS","28019","Montgomery County, MS","28097"
"Choctaw County, MS","28019","Oktibbeha County, MS","28105"
"Choctaw County, MS","28019","Webster County, MS","28155"
"Choctaw County, MS","28019","Winston County, MS","28159"
"Claiborne County, MS","28021","Tensas Parish, LA","22107"
"Claiborne County, MS","28021","Claiborne County, MS","28021"
"Claiborne County, MS","28021","Copiah County, MS","28029"
"Claiborne County, MS","28021","Hinds County, MS","28049"
"Claiborne County, MS","28021","Jefferson County, MS","28063"
"Claiborne County, MS","28021","Warren County, MS","28149"
"Clarke County, MS","28023","Choctaw County, AL","01023"
"Clarke County, MS","28023","Clarke County, MS","28023"
"Clarke County, MS","28023","Jasper County, MS","28061"
"Clarke County, MS","28023","Lauderdale County, MS","28075"
"Clarke County, MS","28023","Newton County, MS","28101"
"Clarke County, MS","28023","Wayne County, MS","28153"
"Clay County, MS","28025","Chickasaw County, MS","28017"
"Clay County, MS","28025","Clay County, MS","28025"
"Clay County, MS","28025","Lowndes County, MS","28087"
"Clay County, MS","28025","Monroe County, MS","28095"
"Clay County, MS","28025","Oktibbeha County, MS","28105"
"Clay County, MS","28025","Webster County, MS","28155"
"Coahoma County, MS","28027","Phillips County, AR","05107"
"Coahoma County, MS","28027","Bolivar County, MS","28011"
"Coahoma County, MS","28027","Coahoma County, MS","28027"
"Coahoma County, MS","28027","Quitman County, MS","28119"
"Coahoma County, MS","28027","Sunflower County, MS","28133"
"Coahoma County, MS","28027","Tallahatchie County, MS","28135"
"Coahoma County, MS","28027","Tunica County, MS","28143"
"Copiah County, MS","28029","Claiborne County, MS","28021"
"Copiah County, MS","28029","Copiah County, MS","28029"
"Copiah County, MS","28029","Hinds County, MS","28049"
"Copiah County, MS","28029","Jefferson County, MS","28063"
"Copiah County, MS","28029","Lawrence County, MS","28077"
"Copiah County, MS","28029","Lincoln County, MS","28085"
"Copiah County, MS","28029","Rankin County, MS","28121"
"Copiah County, MS","28029","Simpson County, MS","28127"
"Covington County, MS","28031","Covington County, MS","28031"
"Covington County, MS","28031","Forrest County, MS","28035"
"Covington County, MS","28031","Jefferson Davis County, MS","28065"
"Covington County, MS","28031","Jones County, MS","28067"
"Covington County, MS","28031","Lamar County, MS","28073"
"Covington County, MS","28031","Simpson County, MS","28127"
"Covington County, MS","28031","Smith County, MS","28129"
"DeSoto County, MS","28033","Crittenden County, AR","05035"
"DeSoto County, MS","28033","DeSoto County, MS","28033"
"DeSoto County, MS","28033","Marshall County, MS","28093"
"DeSoto County, MS","28033","Tate County, MS","28137"
"DeSoto County, MS","28033","Tunica County, MS","28143"
"DeSoto County, MS","28033","Shelby County, TN","47157"
"Forrest County, MS","28035","Covington County, MS","28031"
"Forrest County, MS","28035","Forrest County, MS","28035"
"Forrest County, MS","28035","Jones County, MS","28067"
"Forrest County, MS","28035","Lamar County, MS","28073"
"Forrest County, MS","28035","Pearl River County, MS","28109"
"Forrest County, MS","28035","Perry County, MS","28111"
"Forrest County, MS","28035","Stone County, MS","28131"
"Franklin County, MS","28037","Adams County, MS","28001"
"Franklin County, MS","28037","Amite County, MS","28005"
"Franklin County, MS","28037","Franklin County, MS","28037"
"Franklin County, MS","28037","Jefferson County, MS","28063"
"Franklin County, MS","28037","Lincoln County, MS","28085"
"Franklin County, MS","28037","Wilkinson County, MS","28157"
"George County, MS","28039","Mobile County, AL","01097"
"George County, MS","28039","George County, MS","28039"
"George County, MS","28039","Greene County, MS","28041"
"George County, MS","28039","Jackson County, MS","28059"
"George County, MS","28039","Perry County, MS","28111"
"George County, MS","28039","Stone County, MS","28131"
"Greene County, MS","28041","Mobile County, AL","01097"
"Greene County, MS","28041","Washington County, AL","01129"
"Greene County, MS","28041","George County, MS","28039"
"Greene County, MS","28041","Greene County, MS","28041"
"Greene County, MS","28041","Perry County, MS","28111"
"Greene County, MS","28041","Wayne County, MS","28153"
"Grenada County, MS","28043","Calhoun County, MS","28013"
"Grenada County, MS","28043","Carroll County, MS","28015"
"Grenada County, MS","28043","Grenada County, MS","28043"
"Grenada County, MS","28043","Leflore County, MS","28083"
"Grenada County, MS","28043","Montgomery County, MS","28097"
"Grenada County, MS","28043","Tallahatchie County, MS","28135"
"Grenada County, MS","28043","Webster County, MS","28155"
"Grenada County, MS","28043","Yalobusha County, MS","28161"
"Hancock County, MS","28045","St. Bernard Parish, LA","22087"
"Hancock County, MS","28045","St. Tammany Parish, LA","22103"
"Hancock County, MS","28045","Hancock County, MS","28045"
"Hancock County, MS","28045","Harrison County, MS","28047"
"Hancock County, MS","28045","Pearl River County, MS","28109"
"Hancock County, MS","28045","Stone County, MS","28131"
"Harrison County, MS","28047","St. Bernard Parish, LA","22087"
"Harrison County, MS","28047","Hancock County, MS","28045"
"Harrison County, MS","28047","Harrison County, MS","28047"
"Harrison County, MS","28047","Jackson County, MS","28059"
"Harrison County, MS","28047","Pearl River County, MS","28109"
"Harrison County, MS","28047","Stone County, MS","28131"
"Hinds County, MS","28049","Claiborne County, MS","28021"
"Hinds County, MS","28049","Copiah County, MS","28029"
"Hinds County, MS","28049","Hinds County, MS","28049"
"Hinds County, MS","28049","Madison County, MS","28089"
"Hinds County, MS","28049","Rankin County, MS","28121"
"Hinds County, MS","28049","Simpson County, MS","28127"
"Hinds County, MS","28049","Warren County, MS","28149"
"Hinds County, MS","28049","Yazoo County, MS","28163"
"Holmes County, MS","28051","Attala County, MS","28007"
"Holmes County, MS","28051","Carroll County, MS","28015"
"Holmes County, MS","28051","Holmes County, MS","28051"
"Holmes County, MS","28051","Humphreys County, MS","28053"
"Holmes County, MS","28051","Leflore County, MS","28083"
"Holmes County, MS","28051","Madison County, MS","28089"
"Holmes County, MS","28051","Yazoo County, MS","28163"
"Humphreys County, MS","28053","Holmes County, MS","28051"
"Humphreys County, MS","28053","Humphreys County, MS","28053"
"Humphreys County, MS","28053","Leflore County, MS","28083"
"Humphreys County, MS","28053","Sharkey County, MS","28125"
"Humphreys County, MS","28053","Sunflower County, MS","28133"
"Humphreys County, MS","28053","Washington County, MS","28151"
"Humphreys County, MS","28053","Yazoo County, MS","28163"
"Issaquena County, MS","28055","Chicot County, AR","05017"
"Issaquena County, MS","28055","East Carroll Parish, LA","22035"
"Issaquena County, MS","28055","Issaquena County, MS","28055"
"Issaquena County, MS","28055","Sharkey County, MS","28125"
"Issaquena County, MS","28055","Warren County, MS","28149"
"Issaquena County, MS","28055","Washington County, MS","28151"
"Issaquena County, MS","28055","Yazoo County, MS","28163"
"Itawamba County, MS","28057","Franklin County, AL","01059"
"Itawamba County, MS","28057","Marion County, AL","01093"
"Itawamba County, MS","28057","Itawamba County, MS","28057"
"Itawamba County, MS","28057","Lee County, MS","28081"
"Itawamba County, MS","28057","Monroe County, MS","28095"
"Itawamba County, MS","28057","Prentiss County, MS","28117"
"Itawamba County, MS","28057","Tishomingo County, MS","28141"
"Jackson County, MS","28059","Mobile County, AL","01097"
"Jackson County, MS","28059","George County, MS","28039"
"Jackson County, MS","28059","Harrison County, MS","28047"
"Jackson County, MS","28059","Jackson County, MS","28059"
"Jackson County, MS","28059","Stone County, MS","28131"
"Jasper County, MS","28061","Clarke County, MS","28023"
"Jasper County, MS","28061","Jasper County, MS","28061"
"Jasper County, MS","28061","Jones County, MS","28067"
"Jasper County, MS","28061","Lauderdale County, MS","28075"
"Jasper County, MS","28061","Newton County, MS","28101"
"Jasper County, MS","28061","Scott County, MS","28123"
"Jasper County, MS","28061","Smith County, MS","28129"
"Jasper County, MS","28061","Wayne County, MS","28153"
"Jefferson County, MS","28063","Tensas Parish, LA","22107"
"Jefferson County, MS","28063","Adams County, MS","28001"
"Jefferson County, MS","28063","Claiborne County, MS","28021"
"Jefferson County, MS","28063","Copiah County, MS","28029"
"Jefferson County, MS","28063","Franklin County, MS","28037"
"Jefferson County, MS","28063","Jefferson County, MS","28063"
"Jefferson County, MS","28063","Lincoln County, MS","28085"
"Jefferson Davis County, MS","28065","Covington County, MS","28031"
"Jefferson Davis County, MS","28065","Jefferson Davis County, MS","28065"
"Jefferson Davis County, MS","28065","Lamar County, MS","28073"
"Jefferson Davis County, MS","28065","Lawrence County, MS","28077"
"Jefferson Davis County, MS","28065","Marion County, MS","28091"
"Jefferson Davis County, MS","28065","Simpson County, MS","28127"
"Jones County, MS","28067","Covington County, MS","28031"
"Jones County, MS","28067","Forrest County, MS","28035"
"Jones County, MS","28067","Jasper County, MS","28061"
"Jones County, MS","28067","Jones County, MS","28067"
"Jones County, MS","28067","Perry County, MS","28111"
"Jones County, MS","28067","Smith County, MS","28129"
"Jones County, MS","28067","Wayne County, MS","28153"
"Kemper County, MS","28069","Sumter County, AL","01119"
"Kemper County, MS","28069","Kemper County, MS","28069"
"Kemper County, MS","28069","Lauderdale County, MS","28075"
"Kemper County, MS","28069","Neshoba County, MS","28099"
"Kemper County, MS","28069","Newton County, MS","28101"
"Kemper County, MS","28069","Noxubee County, MS","28103"
"Kemper County, MS","28069","Winston County, MS","28159"
"Lafayette County, MS","28071","Calhoun County, MS","28013"
"Lafayette County, MS","28071","Lafayette County, MS","28071"
"Lafayette County, MS","28071","Marshall County, MS","28093"
"Lafayette County, MS","28071","Panola County, MS","28107"
"Lafayette County, MS","28071","Pontotoc County, MS","28115"
"Lafayette County, MS","28071","Tate County, MS","28137"
"Lafayette County, MS","28071","Union County, MS","28145"
"Lafayette County, MS","28071","Yalobusha County, MS","28161"
"Lamar County, MS","28073","Covington County, MS","28031"
"Lamar County, MS","28073","Forrest County, MS","28035"
"Lamar County, MS","28073","Jefferson Davis County, MS","28065"
"Lamar County, MS","28073","Lamar County, MS","28073"
"Lamar County, MS","28073","Marion County, MS","28091"
"Lamar County, MS","28073","Pearl River County, MS","28109"
"Lauderdale County, MS","28075","Choctaw County, AL","01023"
"Lauderdale County, MS","28075","Sumter County, AL","01119"
"Lauderdale County, MS","28075","Clarke County, MS","28023"
"Lauderdale County, MS","28075","Jasper County, MS","28061"
